"               ID","       GRP","     ALK","     NH3","      CA","   Chloride","   Nitrate","Nitrate_Nitrite","   Nitrite","    OrthoP","      TN","      TP","      TS","     TSS","  ALKSat","  NH3Sat","  CASat","ChlorideSat","NitrateSat","Nitrate_NitriteSat","NitriteSat","OrthoPSat","  TNSat","  TPSat","  TSSat","  TSSSat"
"S14129_2011_2015:  1  ","2001_2005:60  ","Min.   :  2.00  ","Min.   :0.00167  ","Min.   : 1032  ","Min.   :  1.00  ","Min.   :0.0020  ","Min.   :0.0020  ","Min.   :0.002000  ","Min.   :0.001000  ","Min.   :0.0080  ","Min.   :0.00300  ","Min.   :  6.00  ","Min.   : 1.000  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  ","Mode :logical  "
"S14186_2006_2010:  1  ","2006_2010:98  ","1st Qu.: 13.50  ","1st Qu.:0.00700  ","1st Qu.: 6028  ","1st Qu.: 11.44  ","1st Qu.:0.1149  ","1st Qu.:0.1149  ","1st Qu.:0.003000  ","1st Qu.:0.005000  ","1st Qu.:0.3088  ","1st Qu.:0.01388  ","1st Qu.: 74.71  ","1st Qu.: 2.375  ","FALSE:221      ","FALSE:196      ","FALSE:226      ","FALSE:226      ","FALSE:220      ","FALSE:219      ","FALSE:105      ","FALSE:223      ","FALSE:225      ","FALSE:226      ","FALSE:225      ","FALSE:181      "
"S14202_2001_2005:  1  ","2011_2015:68  ","Median : 23.75  ","Median :0.01310  ","Median : 9668  ","Median : 20.60  ","Median :0.2619  ","Median :0.2622  ","Median :0.003000  ","Median :0.008915  ","Median :0.5014  ","Median :0.02230  ","Median :106.17  ","Median : 4.000  ","TRUE :5        ","TRUE :30       ","NA's :0        ","NA's :0        ","TRUE :6        ","TRUE :7        ","TRUE :121      ","TRUE :3        ","TRUE :1        ","NA's :0        ","TRUE :1        ","TRUE :45       "
"S14277_2006_2010:  1  ",NA,"Mean   : 34.49  ","Mean   :0.01713  ","Mean   :13519  ","Mean   : 26.78  ","Mean   :0.4563  ","Mean   :0.4549  ","Mean   :0.004980  ","Mean   :0.031608  ","Mean   :0.6621  ","Mean   :0.04986  ","Mean   :127.92  ","Mean   : 6.776  ","NA's :0        ","NA's :0        ",NA,NA,"NA's :0        ","NA's :0        ","NA's :0        ","NA's :0        ","NA's :0        ",NA,"NA's :0        ","NA's :0        "
"S14278_2011_2015:  1  ",NA,"3rd Qu.: 44.00  ","3rd Qu.:0.02100  ","3rd Qu.:17767  ","3rd Qu.: 36.35  ","3rd Qu.:0.5390  ","3rd Qu.:0.5470  ","3rd Qu.:0.004752  ","3rd Qu.:0.016000  ","3rd Qu.:0.8309  ","3rd Qu.:0.03862  ","3rd Qu.:171.25  ","3rd Qu.: 8.500  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S14308_2011_2015:  1  ",NA,"Max.   :142.00  ","Max.   :0.14000  ","Max.   :56500  ","Max.   :110.60  ","Max.   :6.2515  ","Max.   :6.2800  ","Max.   :0.040000  ","Max.   :0.829500  ","Max.   :5.5590  ","Max.   :0.92000  ","Max.   :424.00  ","Max.   :58.000  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Other)         :220  ",NA,NA,"NA's   :2  ","NA's   :4  ",NA,"NA's   :2  ","NA's   :2  ","NA's   :2  ","NA's   :2  ","NA's   :2  ","NA's   :2  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
